Unit,Chapter,Question,LeetCode,YT,Default Note,Difficulty
Learn the basics,Things to Know in C++/Java/Python or any language,User Input / Output,,https://youtu.be/EAR7De6Goz4?t=250,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,Data Types,,https://youtu.be/EAR7De6Goz4?t=755,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,If Else statements,,https://youtu.be/EAR7De6Goz4?t=1259,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,Switch Statement,,https://youtu.be/EAR7De6Goz4,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,"What are arrays, strings?",,https://youtu.be/EAR7De6Goz4?t=2415,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,For loops,,https://youtu.be/EAR7De6Goz4?t=3096,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,While loops,,https://youtu.be/EAR7De6Goz4?t=3459,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,"Functions (Pass by Reference
                                                and Value)",,https://youtu.be/EAR7De6Goz4?t=3677,,Easy
Learn the basics,Things to Know in C++/Java/Python or any language,"Time Complexity [Learn Basics,
                                                and then analyse in next
                                                Steps]",,https://youtu.be/FPu9Uld7W-E,,Easy
Learn the basics,Build-up Logical Thinking,Patterns,,https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3,,Easy
Learn the basics,Learn STL/Java-Collections or similar thing in your language,C++ STL,,https://www.youtube.com/watch?v=RRVYpIET_RU,,Medium
Learn the basics,Learn STL/Java-Collections or similar thing in your language,Java Collections,,,,Easy
Learn the basics,Know Basic Maths,Count Digits,,https://youtu.be/1xNbjMdbjug,,Easy
Learn the basics,Know Basic Maths,Reverse a Number,https://leetcode.com/problems/reverse-integer/,https://youtu.be/1xNbjMdbjug?t=930,,Easy
Learn the basics,Know Basic Maths,Check Palindrome,https://leetcode.com/problems/palindrome-number/,https://youtu.be/1xNbjMdbjug?t=1230,,Easy
Learn the basics,Know Basic Maths,GCD Or HCF,,https://youtu.be/1xNbjMdbjug?t=2684,,Easy
Learn the basics,Know Basic Maths,Armstrong Numbers,https://leetcode.com/problems/armstrong-number/,https://youtu.be/1xNbjMdbjug?t=1418,,Easy
Learn the basics,Know Basic Maths,Print all Divisors,,https://youtu.be/1xNbjMdbjug?t=1580,,Easy
Learn the basics,Know Basic Maths,Check for Prime,,https://youtu.be/1xNbjMdbjug?t=2381,,Easy
Learn the basics,Learn Basic Recursion,"Understand recursion by print
                                                something N times",,https://www.youtube.com/watch?v=yVdKa8dnKiE&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9,,Easy
Learn the basics,Learn Basic Recursion,"Print name N times using
                                                recursion",,https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2,,Easy
Learn the basics,Learn Basic Recursion,Print 1 to N using recursion,,https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2,,Easy
Learn the basics,Learn Basic Recursion,Print N to 1 using recursion,,https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2,,Easy
Learn the basics,Learn Basic Recursion,Sum of first N numbers,,https://www.youtube.com/watch?v=69ZCDFy-OUo&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=3,,Easy
Learn the basics,Learn Basic Recursion,Factorial of N numbers,,https://www.youtube.com/watch?v=69ZCDFy-OUo&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=3,,Easy
Learn the basics,Learn Basic Recursion,Reverse an array,,https://www.youtube.com/watch?v=twuC1F6gLI8&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=4,,Easy
Learn the basics,Learn Basic Recursion,"Check if a string is palindrome
                                                or not",https://leetcode.com/problems/valid-palindrome/,https://www.youtube.com/watch?v=twuC1F6gLI8&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=4,,Easy
Learn the basics,Learn Basic Recursion,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,https://www.youtube.com/watch?v=kvRjNm4rVBE&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=5,,Easy
Learn the basics,Learn Basic Hashing,Hashing Theory,,https://www.youtube.com/watch?v=KEs5UyBJ39g,,Medium
Learn the basics,Learn Basic Hashing,"Counting frequencies of array
                                                elements",,,,Easy
Learn the basics,Learn Basic Hashing,"Find the highest/lowest
                                                frequency element",https://leetcode.com/problems/frequency-of-the-most-frequent-element/,,,Easy
Learn Important Sorting Techniques,Sorting-I,Selection Sort,,https://youtu.be/HGk_ypEuS24?t=167,,Easy
Learn Important Sorting Techniques,Sorting-I,Bubble Sort,,https://youtu.be/HGk_ypEuS24?t=1061,,Easy
Learn Important Sorting Techniques,Sorting-I,Insertion Sort,,https://youtu.be/HGk_ypEuS24?t=1900,,Easy
Learn Important Sorting Techniques,Sorting-II,Merge Sort,,https://youtu.be/ogjf7ORKfd8,,Medium
Learn Important Sorting Techniques,Sorting-II,Recursive Bubble Sort,,,,Easy
Learn Important Sorting Techniques,Sorting-II,Recursive Insertion Sort,,,,Medium
Learn Important Sorting Techniques,Sorting-II,Quick Sort,,https://youtu.be/WIrA4YexLRQ,,Easy
Solve Problems on Arrays [Easy -> Medium -> Hard],Easy,Largest Element in an Array,,https://youtu.be/37E9ckMDdTk?t=526,,Easy
Solve Problems on Arrays [Easy -> Medium -> Hard],Easy,"Second Largest Element in an
                                                Array without sorting",,https://youtu.be/37E9ckMDdTk?t=810,,Easy
Solve Problems on Arrays [Easy -> Medium -> Hard],Easy,Check if the array is sorted,"https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/#:~:text=Input%3A%20nums%20%3D%20%5B2%2C,no%20rotation)%20to%20make%20nums.",https://youtu.be/37E9ckMDdTk?t=17224,,Easy
Solve Problems on Arrays [Easy -> Medium -> Hard],Easy,"Remove duplicates from Sorted
                                                array","https://leetcode.com/problems/remove-duplicates-from-sorted-array/#:~:text=Input%3A%20nums%20%3D%20%5B0%2C,%2C%203%2C%20and%204%20respectively.",https://youtu.be/37E9ckMDdTk?t=1887,,Easy
Solve Problems on Arrays [Easy -> Medium -> Hard],Easy,"Left Rotate an array by one
                                                place",https://leetcode.com/problems/rotate-array/,https://youtu.be/wvcQg43_V8U?t=61,,Easy
